MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
43.49, 52.66, -6.99202e-12, -9.17
45.5, 42.12, -4.35487e-11, 3.38
37.86, 31.32, -1.35993e-11, 6.54
32.03, 37.53, 2.51025e-11, -5.5
28.07, 29.45, -4.03585e-11, -1.38

Day10
22.88, 21.59, -1.00414e-11, 1.29
20.48, 21.95, 6.67466e-13, -1.47
20.04, 21.79, 1.42781e-11, -1.75
20.24, 21.4, -3.81983e-13, -1.16
20.32, 23.73, -7.89203e-13, -3.41
26.71, 24.62, -7.67028e-13, 2.09
31.79, 25.53, 7.72513e-12, 6.26
35.61, 28.8, -9.32741e-13, 6.81
39.45, 38.75, -5.54496e-12, 0.7
44.97, 35.63, -1.34745e-11, 9.34
47.82, 41.5, 5.171e-13, 6.32
49.46, 44.13, -8.44259e-12, 5.33
51.13, 41.01, 1.1714e-11, 10.12
52.18, 38.01, 6.0752e-12, 14.17
52.66, 37.3, 1.2559e-11, 15.36
52.47, 36.97, -4.11719e-12, 15.5
51.86, 53.58, -2.16391e-12, -1.72
46.98, 38.21, -1.09377e-11, 8.77
39.86, 30.69, 4.15925e-12, 9.17
39.56, 27.23, -2.27217e-12, 12.33
45.76, 21.97, -1.41519e-11, 23.79
37.95, 25.23, -4.41932e-12, 12.72
28.38, 27.21, 8.15748e-12, 1.17
22.78, 28.01, -1.31151e-11, -5.23
ILLINOIS.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
29.21, 28.07, -3.61263e-05, 1.14
25.6, 22.74, 1.72813e-05, 2.86
25.02, 22.5, 4.63148e-05, 2.52
25.07, 20.55, -1.43781e-05, 4.52
25.63, 29.36, 1.27207e-05, -3.73
30.38, 30.06, 3.92554e-05, 0.32
36.59, 26.12, -5.13189e-05, 10.47
40.95, 30.48, 7.93747e-06, 10.47
41.93, 39.28, 7.62146e-06, 2.65
43.35, 40.14, -2.01583e-05, 3.21
44.4, 43.39, -5.74336e-05, 1.01
44.08, 74.55, 6.69117e-06, -30.47
43.72, 41.78, 6.1692e-07, 1.94
45.45, 36.51, -1.08075e-05, 8.94
45.05, 39.33, 5.70876e-05, 5.72
44.31, 50.6, 5.18053e-05, -6.29
41.13, 58.72, 5.71456e-05, -17.59
38.96, 66.25, 6.3192e-05, -27.29
37.85, 58.67, -1.01138e-05, -20.82
44.34, 39.21, -3.1633e-05, 5.13
46.3, 44.66, -5.14911e-05, 1.64
36.9, 39.05, -1.65444e-05, -2.15
29.33, 26.87, -1.32709e-06, 2.46
28.01, 41.36, 2.08488e-05, -13.35

Day2
26.17, 28.11, -5.7759e-08, -1.94
24.27, 25.47, 2.58921e-08, -1.2
24.3, 23.73, 7.46385e-08, 0.57
24.03, 22.56, -2.14697e-08, 1.47
24.64, 26.31, 1.85212e-08, -1.67
30.06, 103.03, 5.78566e-08, -72.97
35.54, 36.72, -7.28127e-08, -1.18
39.65, 39.53, 1.1372e-08, 0.12
42.34, 44.77, 8.96627e-09, -2.43
44.56, 53.93, -3.55356e-08, -9.37
44.98, 49.75, -8.49026e-08, -4.77
44.34, 52, 6.37037e-09, -7.66
45.87, 43.25, 5.83463e-09, 2.62
45.37, 42.73, -1.34656e-08, 2.64
45.46, 43.01, 8.98822e-08, 2.45
45.14, 31.94, 7.50489e-08, 13.2
43.86, 35.92, 8.37842e-08, 7.94
42.75, 36.02, 8.90598e-08, 6.73
39.46, 26.33, -1.32423e-08, 13.13
43.55, 39.86, -4.78363e-08, 3.69
47.85, 42.05, -8.22569e-08, 5.8
38.44, 37.71, -2.63761e-08, 0.73
32.03, 29.39, 1.4596e-09, 2.64
29.11, 23.46, 2.53903e-08, 5.65

Day3
25.44, 11.73, -9.44145e-10, 13.71
24.03, 14.24, 1.01571e-10, 9.79
23.46, 4.26, 1.32929e-09, 19.2
23.52, 9.54, -6.99536e-11, 13.98
24.73, 14.57, -3.3665e-11, 10.16
28.2, 28.3, 3.77317e-11, -0.1
34.46, 36.31, 5.19603e-10, -1.85
39.15, 58.9, -5.81654e-11, -19.75
39.57, 37.1, -4.49366e-10, 2.47
42.39, 36.8, -1.19293e-09, 5.59
42.99, 53.51, -1.06265e-10, -10.52
43.72, 31.71, -6.97031e-10, 12.01
46.6, 23.52, 9.92868e-10, 23.08
46.64, 30.78, 4.85769e-10, 15.86
45.42, 27.44, 1.21182e-09, 17.98
44.01, 26.95, -2.13087e-10, 17.06
41.93, 26.57, -3.36586e-11, 15.36
38.92, 26.28, -7.6046e-10, 12.64
34.63, 25.99, 3.25424e-10, 8.64
37.75, 28.79, -2.74955e-10, 8.96
42.49, 31.17, -1.33193e-09, 11.32
34.03, 26.02, -4.17243e-10, 8.01
29.06, 24.67, 6.86793e-10, 4.39
27.36, 44.94, -1.05523e-09, -17.58

Day4
27.59, 47.16, -2.1171e-12, -19.57
26.81, 59.12, 3.45609e-13, -32.31
23.8, 49.18, 2.94062e-12, -25.38
24.22, 44.45, -2.60414e-13, -20.23
25.34, 18.2, 4.75294e-14, 7.14
33.31, 5.24, 4.18604e-13, 28.07
41.06, 47.42, 5.36669e-13, -6.36
43.51, 36.6, -4.0612e-14, 6.91
60.97, 19, -7.88873e-13, 41.97
61.26, 32.37, -2.44999e-12, 28.89
62.46, 23.76, -7.08958e-13, 38.7
60.65, 51.24, -1.26894e-12, 9.41
63.37, 34.23, 1.89642e-12, 29.14
59.84, 16.87, 8.29378e-13, 42.97
59.04, 11.11, 2.8112e-12, 47.93
56.01, 17.21, 5.10705e-14, 38.8
53.29, 20.83, 4.40862e-13, 32.46
51.12, 27.88, -8.90777e-13, 23.24
37.45, 32.61, 5.29973e-13, 4.84
40.57, 26.74, -8.02936e-13, 13.83
43.86, 25.23, -2.9903e-12, 18.63
38.07, 23.43, -9.40876e-13, 14.64
31.46, 25.02, 1.29613e-12, 6.44
29.88, 26.34, -1.82516e-12, 3.54

Day5
25.64, 18.85, -2.35621e-10, 6.79
24.66, 17.06, 1.56467e-11, 7.6
23.47, 19.61, 3.35034e-10, 3.86
23.35, 19.54, -8.9782e-12, 3.81
22.94, 26.99, -1.85457e-11, -4.05
23.39, 19.18, -1.79791e-11, 4.21
25.84, 21.92, 1.81255e-10, 3.92
28.66, 25.22, -2.18795e-11, 3.44
36.61, 26.32, -1.3012e-10, 10.29
38.01, 23.52, -3.16173e-10, 14.49
36.62, 22.3, 1.21411e-11, 14.32
35.84, 23.54, -1.98118e-10, 12.3
33.44, 23.16, 2.74857e-10, 10.28
30.71, 23.12, 1.42528e-10, 7.59
29.65, 22.45, 2.94663e-10, 7.2
28.57, 19.14, -9.66139e-11, 9.43
28.84, 21.83, -5.07376e-11, 7.01
29.76, 21.32, -2.56641e-10, 8.44
29.3, 22.65, 9.75652e-11, 6.65
34.32, 30.46, -5.33223e-11, 3.86
38.81, 31.1, -3.32024e-10, 7.71
32.3, 25.08, -1.03706e-10, 7.22
27.54, 23.35, 1.91398e-10, 4.19
25.63, 22.73, -3.07704e-10, 2.9

Day6
24.38, 18.26, -7.98462e-11, 6.12
24.08, 19.88, 5.30492e-12, 4.2
23.84, 19.8, 1.13535e-10, 4.04
23.39, 18.1, -3.03987e-12, 5.29
22.63, 21.67, -6.28e-12, 0.96
22.1, 26.27, -6.09605e-12, -4.17
24.55, 26.38, 6.14255e-11, -1.83
28.07, 30.31, -7.41567e-12, -2.24
30.74, 31.57, -4.40931e-11, -0.83
34.95, 26.54, -1.07144e-10, 8.41
33.47, 25.38, 4.11313e-12, 8.09
32.1, 26.62, -6.7135e-11, 5.48
29.6, 24.37, 9.3144e-11, 5.23
28.24, 25.26, 4.83037e-11, 2.98
27.25, 28.04, 9.98599e-11, -0.79
26.71, 25.35, -3.27394e-11, 1.36
28.05, 27.61, -1.72005e-11, 0.44
29.28, 24.15, -8.69712e-11, 5.13
29.8, 25.17, 3.30679e-11, 4.63
36.21, 24.94, -1.80685e-11, 11.27
45.18, 24.85, -1.12523e-10, 20.33
34.75, 24.71, -3.51422e-11, 10.04
26.83, 24.93, 6.48629e-11, 1.9
24.83, 11.41, -1.04281e-10, 13.42

Day7
20.91, 18.96, -1.00077e-12, 1.95
20.08, 24.4, 6.64223e-14, -4.32
20.61, 13.06, 1.42301e-12, 7.55
22.16, 16.36, -3.81663e-14, 5.8
23.69, 12.57, -7.88319e-14, 11.12
27.24, 25.62, -7.63237e-14, 1.62
38.03, 33.72, 7.69831e-13, 4.31
41.28, 31.37, -9.29149e-14, 9.91
37.96, 32.4, -5.52688e-13, 5.56
40.39, 26.41, -1.34289e-12, 13.98
38.64, 23.82, 5.15881e-14, 14.82
38.83, 25.61, -8.41512e-13, 13.22
37.01, 24.36, 1.1674e-12, 12.65
36.5, 25.71, 6.05311e-13, 10.79
36.12, 24.91, 1.25147e-12, 11.21
34.42, 29.07, -4.10369e-13, 5.35
33.73, 26.63, -2.1542e-13, 7.1
34.57, 32.75, -1.09003e-12, 1.82
32.96, 29.18, 4.14328e-13, 3.78
36.55, 48.52, -2.26491e-13, -11.97
37.43, 34.62, -1.41012e-12, 2.81
30.21, 30.87, -4.40496e-13, -0.66
26.5, 38.57, 8.12902e-13, -12.07
23.83, 26.89, -1.30684e-12, -3.06

Day8
23.12, 24.49, -1.66962e-13, -1.37
22.6, 21.47, 1.10772e-14, 1.13
21.91, 25.15, 2.37407e-13, -3.24
21.99, 19.01, -6.3716e-15, 2.98
23.66, 22.11, -1.31595e-14, 1.55
26.22, 30.57, -1.27282e-14, -4.35
34.42, 40.62, 1.2843e-13, -6.2
37.32, 29.75, -1.54994e-14, 7.57
37, 27.25, -9.22096e-14, 9.75
37.94, 28.67, -2.24039e-13, 9.27
38.34, 25.48, 8.6089e-15, 12.86
38.77, 32, -1.40397e-13, 6.77
38.51, 52.23, 1.94759e-13, -13.72
41.14, 35.35, 1.00979e-13, 5.79
